,J1,J2,J3,J4,J5,J6
1889,-2.3396570682525635,-1.3316380977630615,-2.0721724033355713,-0.04265165328979492,1.743250846862793,-0.14051717519760132
1890,-2.3396897315979004,-1.3319679498672485,-2.072218656539917,-0.04159390926361084,1.7431083917617798,-0.14018689095973969
1891,-2.339721918106079,-1.3322968482971191,-2.0722649097442627,-0.040537357330322266,1.7429656982421875,-0.13985660672187805
1892,-2.3397538661956787,-1.332625150680542,-2.0723116397857666,-0.03948068618774414,1.742822289466858,-0.13952630758285522
1893,-2.339785575866699,-1.3329529762268066,-2.072357416152954,-0.03842568397521973,1.7426784038543701,-0.1391960084438324
1894,-2.3398165702819824,-1.3332802057266235,-2.0724031925201416,-0.037371277809143066,1.742533802986145,-0.1388656049966812
1895,-2.3398470878601074,-1.3336067199707031,-2.072448968887329,-0.03631758689880371,1.7423884868621826,-0.13853517174720764
1896,-2.3398776054382324,-1.333932876586914,-2.0724947452545166,-0.03526425361633301,1.7422428131103516,-0.13820479810237885
1897,-2.339907646179199,-1.3342580795288086,-2.072540044784546,-0.034212589263916016,1.7420965433120728,-0.13787436485290527
1898,-2.3399369716644287,-1.3345826864242554,-2.072585344314575,-0.03316152095794678,1.741949439048767,-0.13754379749298096
1899,-2.339966058731079,-1.3349066972732544,-2.0726306438446045,-0.03211104869842529,1.7418018579483032,-0.137213334441185
1900,-2.3399946689605713,-1.3352302312850952,-2.0726754665374756,-0.031061530113220215,1.741653561592102,-0.1368827223777771
1901,-2.3400230407714844,-1.3355529308319092,-2.072720766067505,-0.03001236915588379,1.7415050268173218,-0.13655222952365875
1902,-2.34005069732666,-1.3358749151229858,-2.072765588760376,-0.028964638710021973,1.741355299949646,-0.13622154295444489
1903,-2.340078115463257,-1.3361965417861938,-2.072810411453247,-0.02791726589202881,1.7412053346633911,-0.1358909159898758
1904,-2.3401052951812744,-1.3365174531936646,-2.07285475730896,-0.026871085166931152,1.741054892539978,-0.1355603039264679
1905,-2.340131998062134,-1.336837887763977,-2.072899103164673,-0.0258253812789917,1.740903615951538,-0.13522964715957642
1906,-2.340158224105835,-1.3371574878692627,-2.0729434490203857,-0.024780750274658203,1.74075186252594,-0.13489891588687897
1907,-2.340184211730957,-1.3374766111373901,-2.0729873180389404,-0.023737072944641113,1.7405993938446045,-0.1345682591199875
1908,-2.340209722518921,-1.3377950191497803,-2.0730316638946533,-0.022693634033203125,1.7404465675354004,-0.13423757255077362
1909,-2.3402347564697266,-1.3381128311157227,-2.073075532913208,-0.021651268005371094,1.7402927875518799,-0.1339067816734314
1910,-2.340259313583374,-1.3384300470352173,-2.0731194019317627,-0.020609498023986816,1.7401385307312012,-0.13357600569725037
1911,-2.3402836322784424,-1.3387466669082642,-2.073162794113159,-0.019569039344787598,1.7399836778640747,-0.13324525952339172
1912,-2.3403074741363525,-1.3390626907348633,-2.0732061862945557,-0.01852893829345703,1.73982834815979,-0.1329144537448883
1913,-2.3403310775756836,-1.339377999305725,-2.073249578475952,-0.017490029335021973,1.7396725416183472,-0.13258367776870728
1914,-2.3403542041778564,-1.3396928310394287,-2.0732929706573486,-0.016451358795166016,1.739516019821167,-0.13225290179252625
1915,-2.34037709236145,-1.340006947517395,-2.073335886001587,-0.015414118766784668,1.739358901977539,-0.13192211091518402
1916,-2.3403990268707275,-1.3403204679489136,-2.073378801345825,-0.014377236366271973,1.7392008304595947,-0.13159117102622986
1917,-2.340420961380005,-1.3406333923339844,-2.0734217166900635,-0.013341426849365234,1.7390424013137817,-0.13126038014888763
1918,-2.340442657470703,-1.340945839881897,-2.0734646320343018,-0.012305855751037598,1.7388837337493896,-0.13092955946922302
1919,-2.340463876724243,-1.3412574529647827,-2.073507070541382,-0.011271834373474121,1.7387242317199707,-0.13059872388839722
1920,-2.340484619140625,-1.3415684700012207,-2.073549509048462,-0.010238170623779297,1.738564133644104,-0.1302678883075714
1921,-2.3405048847198486,-1.34187912940979,-2.073591947555542,-0.009205102920532227,1.7384032011032104,-0.12993696331977844
1922,-2.3405251502990723,-1.3421891927719116,-2.073633909225464,-0.008173346519470215,1.7382421493530273,-0.129606232047081
1923,-2.3405447006225586,-1.3424984216690063,-2.073676347732544,-0.007141709327697754,1.7380801439285278,-0.1292753666639328
1924,-2.3405637741088867,-1.3428070545196533,-2.073718309402466,-0.0061113834381103516,1.7379175424575806,-0.128944531083107
1925,-2.340582847595215,-1.3431153297424316,-2.0737602710723877,-0.0050814151763916016,1.7377547025680542,-0.12861368060112
